shipment_id,order_id,status,shipped_at,delivered_at
S1,01,delivered,2024-01-02,2024-01-03
S2,02,delivered,2024-01-03,2024-01-04
S3,03,delivered,2024-01-04,2024-01-05
S4,04,delivered,2024-01-05,2024-01-06
S5,05,delivered,2024-01-06,2024-01-07
S6,06,delivered,2024-01-07,2024-01-08
S7,07,delivered,2024-01-08,2024-01-09
S8,08,delivered,2024-01-09,2024-01-10
S9,09,delivered,2024-01-10,2024-01-11
S10,010,shipped,2024-01-11,2024-01-12
S11,011,shipped,2024-01-12,2024-01-13
S12,012,delivered,2024-01-13,2024-01-14
S13,013,shipped,2024-01-14,2024-01-15
S14,014,delivered,2024-01-15,2024-01-16
S15,015,delivered,2024-01-16,2024-01-17
S16,016,delivered,2024-01-17,2024-01-18
S17,017,shipped,2024-01-18,2024-01-19
S18,018,delivered,2024-01-19,2024-01-20
S19,019,shipped,2024-01-20,2024-01-21
S20,020,delivered,2024-01-21,2024-01-22
